Using Temp Tables
Query,Executed (#),Tmp Tables in Memory (#),Tmp Tables on Disk (#),Avg. Tmp Tables/Query (#),Percent Tmp Tables to Disk (%),Digest
SHOW FULL FIELDS FROM `portalmgmt` . `auth_group_permissions`,1,1,0,1.0,0.0,5cc1eba466b6486006ea839685306a60497215dd0d18e04c04f74b0e8e2a743a
SHOW FULL FIELDS FROM `portalmgmt` . `auth_permission`,1,1,0,1.0,0.0,754b9ae5112e17bb9f88ca12b5c3a6b90edcbb17e6dd128536ac83552e8c0966
SHOW FULL FIELDS FROM `portalmgmt` . `auth_user`,1,1,0,1.0,0.0,9d23a2c76950272d0d7307140681ba0181f38b0d6067b961dc98253f23ccab62
SHOW FULL FIELDS FROM `portalmgmt` . `auth_user_groups`,1,1,0,1.0,0.0,116869158d81d84a41a03133ad5897ede2d71e80c9edb828305bc88341f5100b
SHOW FULL FIELDS FROM `portalm ... . `auth_user_user_permissions`,1,1,0,1.0,0.0,8d798ee2ab87acedf09d0dbf2b1ede12651488c67ae18aba757e96b196820aef
SHOW FULL FIELDS FROM `quizapp` . `api_question`,1,1,0,1.0,0.0,9354eb6d76d0fe27b0e03cd27ab79897eb7ca89c2d1b1ddf4077ddde7c6f9735
SHOW FULL FIELDS FROM `quizapp` . `api_quiz`,1,1,0,1.0,0.0,854fd62500cab7bea199f87de8bd19939c5db8b20db2e73d9be13ffa37fc4ff6
SHOW FULL FIELDS FROM `quizapp` . `api_score`,1,1,0,1.0,0.0,07ff5bb850740a0e778828862e7259fc89527ba5eb9e3233ec32282f57c4b966
SHOW FULL FIELDS FROM `quizapp` . `auth_group`,1,1,0,1.0,0.0,6b00e35283e3b0538f1f1debe099025cdc1ecbf987477394ac3633545d688918
SHOW FULL FIELDS FROM `quizapp` . `auth_group_permissions`,1,1,0,1.0,0.0,ced30e8eeebffc1a498b069102d5906a63e7711df50d4d4e2d8d5975306666eb
SHOW FULL FIELDS FROM `quizapp` . `auth_permission`,1,1,0,1.0,0.0,638ff077697af9f8ece5eae69b47d7a92a8473c498842b00d4993f10358eea46
SHOW FULL FIELDS FROM `quizapp` . `auth_user`,1,1,0,1.0,0.0,ff0577e4a5d5fb1174f0af6622bd9b803fbe5af29062f442b052b073054566ea
SHOW FULL FIELDS FROM `quizapp` . `auth_user_groups`,1,1,0,1.0,0.0,bdbf0adf345a89522635c391a392e77f05735c27ae9990cd8ba8e1e3e02346fe
SHOW FULL FIELDS FROM `quizapp` . `auth_user_user_permissions`,1,1,0,1.0,0.0,538ac886f460ecdb744cb650b36876dcc96885476d5acaf3172aac7ea62a4462
SHOW FULL FIELDS FROM `quizapp` . `django_admin_log`,1,1,0,1.0,0.0,7b838d1712bdd2d15cc6d896a05d21dce7b28a8c635b4e56ac8ddc63089fe761
SHOW FULL FIELDS FROM `quizapp` . `django_content_type`,1,1,0,1.0,0.0,1b3de72c2f45d8c8e89a05a4a407cdbb6d9dd9d38e5d8dda1f09aa85dcb4eda2
SHOW FULL FIELDS FROM `quizapp` . `django_migrations`,1,1,0,1.0,0.0,7b1bf49429d9318c48d5fc3108b8e2c624ac1ecb30828cef9870f67db9304922
SHOW FULL FIELDS FROM `quizapp` . `django_session`,1,1,0,1.0,0.0,ececadf26743fbd4a8214f44e5e69eaff3c83c6b8805730ee3c179c7e1fe7f0e
SHOW FULL FIELDS FROM `portalmgmt` . `django_admin_log`,1,1,0,1.0,0.0,972cdd76c6c19f354c1ea81c38de771bee1398d68dfbd1a138a3e37f82360349
SHOW FULL FIELDS FROM `portalmgmt` . `django_content_type`,1,1,0,1.0,0.0,b02e981ddb1ec7b7e218b8405ac5870cfc14a244468a26db400fcd759257eb4f
SHOW FULL FIELDS FROM `portalmgmt` . `django_migrations`,1,1,0,1.0,0.0,e17a12f25ae561f5549e7f2da42a1edab28f48ddb16ca8f2bc24d94cdf27bc46
SELECT * FROM `sys` . `x$memory_global_total`,1,1,0,1.0,0.0,e418fb01c73ec9d82ddb0af90a018615275c7947eb9da1f64e49ed81e706961e
